year,quarter,period,state,count,amount_inr,avg_ticket_inr
2020,2,2020Q2,assam,11026960,19908371407.600346,1805.4270086769468
2020,2,2020Q2,bihar,53954783,130329505836.33133,2415.53201754757
2020,2,2020Q2,chandigarh,1098495,2233114743.327046,2032.8856693267114
2020,2,2020Q2,chhattisgarh,21009112,37624391296.12829,1790.8606178180348
2020,2,2020Q2,dadra & nagar haveli & daman & diu,1128692,1665874471.905149,1475.9336221973301
2020,2,2020Q2,delhi,52441310,81000333616.01228,1544.5902021900727
2020,2,2020Q2,goa,1740286,2715145069.5507383,1560.1717588664958
2020,2,2020Q2,gujarat,44779825,70966369720.57262,1584.7844363074803
2020,2,2020Q2,haryana,46499694,89232924843.01035,1919.0002592922515
2020,2,2020Q2,himachal pradesh,4848448,7841832501.0697975,1617.3902455115117
2020,2,2020Q2,jammu & kashmir,2478234,7385817104.091432,2980.2743018179203
2020,2,2020Q2,jharkhand,22126359,41175811278.05409,1860.9393112555977
2020,2,2020Q2,karnataka,212551929,323323995220.1348,1521.1529565564886
2020,2,2020Q2,kerala,15681152,22928754785.609818,1462.185608915073
2020,2,2020Q2,ladakh,196402,704881827.1637564,3588.97479233285
2020,2,2020Q2,lakshadweep,11502,30917214.412092242,2687.985951320835
2020,2,2020Q2,madhya pradesh,75708003,145115611014.9742,1916.7803305414648
2020,2,2020Q2,maharashtra,180429884,281354616792.98035,1559.357078525752
2020,2,2020Q2,manipur,879294,2154620599.909894,2450.3983876950074
2020,2,2020Q2,meghalaya,628610,1103805615.6365817,1755.946637241822
2020,2,2020Q2,mizoram,227158,577686076.9074495,2543.1024965330275
2020,2,2020Q2,nagaland,613591,1494171970.2284145,2435.126933459608
2020,2,2020Q2,odisha,50392152,90886955389.31903,1803.593452197061
2020,2,2020Q2,puducherry,1040762,1827425177.4942698,1755.8530936893064
2020,2,2020Q2,punjab,14203459,29836650185.539894,2100.6608450476674
2020,2,2020Q2,rajasthan,98305260,184398456319.7787,1875.774056441931
2020,2,2020Q2,sikkim,547369,1206404024.7125049,2204.0050216809955
2020,2,2020Q2,tamil nadu,50385378,87932439310.76688,1745.1975712232797
2020,2,2020Q2,telangana,138326729,285827211219.7179,2066.3194545698966
2020,2,2020Q2,tripura,1253367,2215013181.2374315,1767.2502796367157
2020,2,2020Q2,uttar pradesh,110306561,195404454299.56982,1771.467195859454
2020,2,2020Q2,uttarakhand,9154035,15661272266.921104,1710.8599941906607
2020,2,2020Q2,west bengal,58763095,99278377224.57706,1689.468147050067
2020,3,2020Q3,andaman & nicobar islands,143989,392083841.7156626,2723.0124642553433
2020,3,2020Q3,andhra pradesh,251377109,585395478652.1339,2328.7541215701303
2020,3,2020Q3,arunachal pradesh,1160082,3346055621.9050674,2884.32681647079
2020,3,2020Q3,assam,11961802,26368491655.51855,2204.391249371838
2020,3,2020Q3,bihar,72779613,175427345182.79007,2410.391288873576
2020,3,2020Q3,chandigarh,1787111,3631987949.8054485,2032.3236496252603
2020,3,2020Q3,chhattisgarh,28282693,50717527358.68874,1793.235437611572
2020,3,2020Q3,dadra & nagar haveli & daman & diu,1381590,2246553945.8118267,1626.0641332173993
2020,3,2020Q3,delhi,73862510,129779470523.62761,1757.0411636922115
2020,3,2020Q3,goa,2133105,3765761100.712038,1765.3894678002434
2020,3,2020Q3,gujarat,58773255,107948689525.47961,1836.697482987451
2020,3,2020Q3,haryana,67366856,128348575809.31851,1905.218432775288
2020,3,2020Q3,himachal pradesh,5877958,10905705832.23328,1855.3562023126535
2020,3,2020Q3,jammu & kashmir,3263787,10448451928.001057,3201.327760666078
2020,3,2020Q3,jharkhand,31367125,59164756770.200226,1886.2027288187944
2020,3,2020Q3,karnataka,300996207,475946166041.82654,1581.2364241580842
2020,3,2020Q3,kerala,22302087,39547903350.2505,1773.282623740572
2020,3,2020Q3,ladakh,291625,1137269183.6259084,3899.765738965824
2020,3,2020Q3,lakshadweep,13906,37809773.97093214,2718.953974610394
