month,leg,volume_mn,value_brl_bn,volume_share,value_share
2024-10,Nao disponivel,0.543,0.043,0.000107,2.1e-05
2024-10,P2B,2023.65,246.872,0.397093,0.118207
2024-10,P2G,10.353,3.277,0.002032,0.001569
2024-10,P2P,2450.237,615.695,0.480801,0.294808
2024-11,B2B,163.11,917.727,0.031542,0.440884
2024-11,B2G,4.39,8.061,0.000849,0.003872
2024-11,B2P,433.312,263.617,0.083792,0.126644
2024-11,G2B,0.247,10.917,4.8e-05,0.005244
2024-11,G2G,0.024,3.588,5e-06,0.001724
2024-11,G2P,1.312,1.068,0.000254,0.000513
2024-11,Nao disponivel,0.0,0.0,0.0,0.0
2024-11,P2B,2063.992,250.544,0.399126,0.120363
2024-11,P2G,9.835,3.071,0.001902,0.001476
2024-11,P2P,2495.055,622.969,0.482483,0.29928
2024-12,B2B,175.297,1024.703,0.030699,0.439942
2024-12,B2G,4.935,11.554,0.000864,0.004961
2024-12,B2P,484.898,295.723,0.084919,0.126965
2024-12,G2B,0.231,6.634,4e-05,0.002848
2024-12,G2G,0.032,5.435,6e-06,0.002333
2024-12,G2P,1.77,1.137,0.00031,0.000488
2024-12,Nao disponivel,0.878,0.091,0.000154,3.9e-05
2024-12,P2B,2306.604,277.995,0.403951,0.119353
2024-12,P2G,10.871,3.982,0.001904,0.00171
2024-12,P2P,2724.598,701.925,0.477153,0.301362
2025-01,B2B,178.751,974.695,0.035324,0.469204
2025-01,B2G,6.187,12.026,0.001223,0.005789
2025-01,B2P,451.061,254.995,0.089137,0.122751
2025-01,G2B,0.127,3.429,2.5e-05,0.001651
2025-01,G2G,0.023,3.931,4e-06,0.001892
2025-01,G2P,1.274,1.036,0.000252,0.000499
2025-01,Nao disponivel,1.521,0.575,0.000301,0.000277
2025-01,P2B,2110.396,244.404,0.417051,0.117652
2025-01,P2G,15.566,6.39,0.003076,0.003076
2025-01,P2P,2295.379,575.858,0.453607,0.27721
2025-02,B2B,178.033,934.487,0.035708,0.457079
